,0
0,54
1,659
2,870
3,358
4,657
5,478
6,66
7,2
8,138
9,526
10,90
11,865
12,590
13,643
14,558
15,145
16,124
17,62
18,427
19,141
20,359
21,723
22,147
23,361
24,436
25,55
26,142
27,360
28,917
29,525
30,871
31,732
32,428
33,63
34,543
35,650
36,645
37,648
38,284
39,498
40,562
41,355
42,654
43,65
44,948
45,489
46,856
47,542
48,362
49,868
50,729
51,0
52,46
53,1
54,869
55,550
56,286
57,854
58,128
59,14
60,429
61,39
62,131
63,136
64,127
65,534
66,97
67,726
68,285
69,216
70,332
71,348
72,524
73,640
74,102
75,798
76,805
77,731
78,53
79,598
80,221
81,292
82,554
83,610
84,553
85,867
86,208
87,279
88,214
89,61
90,945
91,918
92,101
93,641
94,218
95,605
96,134
97,844
98,730
99,133
100,476
101,426
102,636
103,873
104,932
105,611
106,773
107,37
108,10
109,425
110,609
111,533
112,552
113,602
114,864
115,777
116,351
117,91
118,287
119,293
120,135
121,557
122,653
123,490
124,171
125,563
126,724
127,276
128,220
129,477
130,561
131,722
132,787
133,215
134,639
135,283
136,497
137,420
138,861
139,794
140,947
141,100
142,265
143,139
144,267
145,212
146,538
147,125
148,38
149,45
150,9
151,50
152,494
153,790
154,855
155,721
156,424
157,707
158,540
159,129
160,52
161,36
162,921
163,211
164,288
165,935
166,781
167,779
168,795
169,60
170,778
171,527
172,876
173,551
174,270
175,800
176,785
177,272
178,727
179,608
180,866
181,277
182,541
183,860
184,845
185,555
186,274
187,352
188,651
189,714
190,939
191,336
192,278
193,363
194,354
195,209
196,433
197,680
198,848
199,644
200,940
201,725
202,591
203,793
204,103
205,928
206,728
207,207
208,273
209,219
210,263
211,944
212,711
213,665
214,356
215,549
216,863
217,88
218,194
219,67
220,89
221,126
222,518
223,340
224,98
225,851
226,344
227,589
228,266
229,434
230,342
231,872
232,668
233,780
234,334
