,0
0,659
1,54
2,657
3,358
4,138
5,870
6,2
7,526
8,66
9,90
10,478
11,145
12,590
13,558
14,147
15,918
16,124
17,142
18,55
19,643
20,62
21,359
22,723
23,427
24,141
25,525
26,871
27,645
28,286
29,917
30,650
31,102
32,732
33,284
34,63
35,428
36,731
37,562
38,133
39,360
40,550
41,498
42,65
43,429
44,542
45,355
46,648
47,640
48,873
49,136
50,97
51,0
52,489
53,332
54,436
55,729
56,641
57,14
58,39
59,543
60,798
61,262
62,131
63,216
64,553
65,292
66,945
67,654
68,285
69,844
70,726
71,283
72,215
73,353
74,425
75,10
76,868
77,1
78,730
79,856
80,534
81,61
82,221
83,348
84,53
85,867
86,128
87,538
88,611
89,610
90,865
91,605
92,208
93,405
94,773
95,859
96,591
97,218
98,476
99,411
100,552
101,779
102,134
103,794
104,279
105,91
106,89
107,214
108,921
109,533
110,263
111,46
112,127
113,272
114,872
115,805
116,220
117,490
118,135
119,267
120,139
121,171
122,129
123,932
124,602
125,287
126,854
127,876
128,477
129,101
130,494
131,606
132,524
133,270
134,212
135,777
136,589
137,653
138,45
139,701
140,9
141,497
142,778
143,787
144,561
145,636
146,51
147,37
148,281
149,551
150,554
151,219
152,724
153,426
154,608
155,711
156,722
157,864
158,352
159,50
160,424
161,800
162,361
163,277
164,651
165,725
166,948
167,100
168,935
169,780
170,599
171,540
172,362
173,846
174,700
175,527
176,555
177,781
178,125
179,863
180,276
181,790
182,556
183,783
184,60
185,855
186,563
187,721
188,601
189,103
190,947
191,266
192,707
193,356
194,52
195,207
196,363
197,434
198,559
199,793
200,433
201,357
202,795
203,772
204,265
205,36
206,88
207,423
208,140
209,845
210,848
211,668
212,495
213,334
214,67
215,213
216,644
217,928
218,639
219,939
220,597
221,776
222,416
223,849
224,336
225,637
226,665
227,944
228,727
229,340
230,38
231,188
232,720
233,344
234,866
235,784
236,916
237,851
238,638
239,541
240,479
241,785
242,274
243,288
244,652
245,716
246,714
247,774
248,343
249,717
250,98
251,926
